workers,points,time_s,pi_est,speedup,efficiency
1,400000,0.465670602000003,3.14126,1.0,1.0
2,400000,0.45775304900000435,3.14089,1.017296559831322,0.508648279915661
4,400000,0.8648119570000006,3.13786,0.5384645739813733,0.13461614349534332
8,400000,1.5004577999999924,3.14027,0.3103523484632526,0.038794043557906575
